system:index,HH_A1,HH_A2,HH_A3,HH_A4,HH_D1,HH_D2,HH_D3,HH_D4,HV_A1,HV_A2,HV_A3,HV_A4,HV_D1,HV_D2,HV_D3,HV_D4,Height,NL,U1,U2,U3,U4,VH_A1,VH_A2,VH_D1,VH_D2,VV_A1,VV_A2,VV_D1,VV_D2,.geo
169,-4.712014169019825,-3.493568572722621,-6.290894893251734,-4.952606508136177,-5.271513718703892,-4.595426041846156,-5.007695667401825,-5.274976690448057,-13.148327355397754,-13.508163612257784,-14.881183847349263,-12.685529398830182,-16.77473454878124,-15.594446708681675,-14.741740924949562,-16.02795068857399,4,27.147499084472656,0.03703703703703695,0.04731861198738192,0.03667136812411854,0.05568814638026977,-14.149142800255603,-13.433156289603492,-16.46190383433196,-15.649718184894136,-5.447321718557197,-10.137290828465803,-5.131716204748489,-3.019891991196802,
185,2.377811690561535,3.348648820218093,4.801493593101199,3.103794375737683,3.059968832088376,4.671340588105697,1.1357276481148517,2.104249494669301,-1.250637345409777,-4.926063693631295,-2.2801630085300677,2.013528307138954,-0.8211509409773265,-2.0928143469397513,-2.028038025855869,-3.1618584008868944,17,68.53916931152344,0.6913580246913573,0.763406940063092,0.8138222849083216,0.8750994431185355,-1.3597565265842395,10.171016396335293,0.1523720126487839,-3.5352199145672425,1.4838912933064645,4.164125835673286,-1.606800676985159,2.6889048095094035,
200,-1.7818647137089678,0.06521419219820664,-2.7955372709677064,0.6552612367474283,-2.070274340576506,-2.5287304464581633,-2.28539688914118,-2.2428203101086286,-5.948147069847322,-7.553563505719521,-7.5266785429550005,-6.620022964568881,-6.981411955985104,-5.6633541960894185,-6.667029991730487,-6.322080415254242,11,54.182498931884766,0.8271604938271601,0.6624605678233444,0.610719322990127,0.6054097056483666,-7.905118241665454,-7.843757402249192,-9.696582430672766,-5.0429597738460625,-3.421730047434181,-3.5001509120792944,-5.489636890684727,-4.361419217583475,
217,2.1749223808890545,8.80325515849241,-0.7934983510549803,3.89786174726931,-3.929871443279608,-4.823180513226046,-3.2159345860778155,-4.775465260025659,-12.367100027242955,-11.679537933242685,-11.441413884624307,-13.113212557536666,-12.018617322019443,-11.251340030410992,-8.563101879978657,-11.180317931036702,7,38.94333267211914,0.3086419753086413,0.24290220820189404,0.35119887165021163,0.4073190135242602,-13.507439268251783,-11.569646635534703,-13.212709917071084,-11.090121667540819,-4.356105505980317,-5.049817751603514,-8.183599762906956,-6.1143346255787066,
276,-2.0579833293231133,-2.3599815897872616,-0.33267346619458477,-1.7037311752981235,-7.125386671256171,-6.294756966173398,-7.5438856331234225,-8.586886349007143,-11.738023735928024,-10.92984401089541,-10.944362904884953,-10.374472566637749,-12.614915416673105,-11.927949625692937,-14.081178136329195,-10.06659695411677,14,18.77083396911621,0.5061728395061718,0.46056782334384955,0.36671368124118486,0.3046937151949039,-15.214638463633777,-11.477199862297203,-14.279534926755357,-13.899031116125627,-8.53623322217349,-7.047458950187559,-13.382835546415574,-12.43088146981534,
289,-4.309304343277308,-4.604340356622138,-6.094853509841836,-6.709680049737642,-7.916548038836952,-7.845815254787753,-7.578460092197668,-6.926066954995933,-13.166851760861306,-11.871691184106682,-14.21485122117244,-12.707931697867409,-14.652335802194163,-14.814423106164936,-14.460369797354925,-10.525275777455258,6,28.991666793823242,0.3333333333333326,0.21766561514195695,0.225669957686883,0.3269689737470123,-12.522357786736292,-12.805988628674292,-16.02450315196189,-15.295668483258948,-8.317818522330652,-6.427929661940835,-11.769212039959603,-6.699427747377315,
292,4.7956243837052694,-1.1329854992434614,5.386345478307951,2.8700214790830403,-9.887664658849186,-6.443571437820321,-7.995301268931461,-9.032186998983834,-15.042496130712482,-14.791955743642276,-15.023759880845658,-14.678892620217564,-16.482061553320392,-15.156911985957473,-15.435644476887422,-15.665835798876957,5,24.537500381469727,0.08641975308641955,0.07570977917981105,0.06488011283497891,0.06125696101829676,-16.236008713462812,-16.476282579085357,-16.531136509586922,-17.063732716937675,-3.678434010932559,-2.2153736213366493,-9.382998495880624,-11.126389589301256,
298,2.3824291249023912,-2.914860480561172,4.56813142765213,-0.44854170119856,-8.010845883808493,-5.917824269911074,-6.322835269695635,-7.281607941986386,-15.49678928817929,-15.747074575947046,-15.962640366184212,-15.760956993510161,-14.754986003537597,-13.463248408993135,-12.858413961595035,-13.315708996157706,6,41.22249984741211,0.3827160493827152,0.42586750788643635,0.31311706629055014,0.21479713603818218,-18.14610338781699,-17.22718913970168,-15.161721389284391,-14.257624373298215,2.966578557917382,-2.7183697252919212,-9.021830270541887,-10.063897560198518,
336,-6.333762505510351,-2.7235641540097144,-9.032244602720201,-8.846267215604191,-8.670902866256844,-6.943531413078421,-5.204261378606428,-8.83876412275721,-14.140163522191873,-13.352393511892274,-15.339335629901075,-13.264830127607299,-15.893101880144837,-14.862236559839788,-14.725401077622216,-12.737156429068786,5,27.147499084472656,0.1975308641975304,0.10094637223974802,0.12834978843441475,0.16626889419251925,-13.145637174591215,-12.49641020518597,-15.801242762057862,-14.795533015305715,-5.964212901341131,-9.18410264966459,-9.289406802889832,-9.918059629670323,
349,-2.7058844619452693,0.7110659829676567,-2.8311067825382326,-3.0825385006063657,-4.287347847897875,0.5410256420904782,6.087952009193945,2.8811064998717817,-7.140188366410954,-4.467724011556535,-8.05785373862286,-8.078554536690834,-15.15115532087925,-11.683637957846564,-13.366588784261056,-12.902242119998657,5,32.13083267211914,0.493827160493826,0.3974763406940074,0.3681241184767279,0.3341288782816185,-3.1173235418490286,-6.322660739405975,-16.330181680404458,-15.011149961787657,-0.6957525254795638,-1.5585639613150357,-1.0620315926036505,-1.4564066827906552,
439,-0.08286288264802256,1.9298237288187867,0.22239188672375723,-2.6858674005669356,-2.764905639066665,-1.888598052200045,-4.0740010911445195,-2.4828440396725067,-13.110697482102173,-10.370927501113117,-14.269977458856195,-11.454352747397731,-12.131967859543698,-12.073025390385936,-13.014866587468893,-13.394654752155938,4,27.517499923706055,0.01234567901234565,0.19873817034700414,0.23272214386459808,0.24582338902147485,-13.461231241357817,-13.918008835461363,-14.091780578719264,-14.024917751687967,-3.0726334224161507,-5.729369240874202,-8.469358849831616,-8.881354129373923,
452,4.0969278847703725,4.275275482364038,5.28525369576491,5.489337717715562,2.686045990055256,1.2179103084416376,2.294413560843454,2.3621259393853324,-3.684092142496957,-4.722864084512877,-0.6136282433803236,-2.685315283447997,-2.0320358722280725,-1.9376192797353404,-1.4020749843068205,-3.7980724892804747,18,116.26416778564453,0.9753086419753085,0.9873817034700315,0.9492242595204513,0.9546539379474939,-7.814717438050089,-4.987666921915222,3.6208568905253062,1.0086214634120647,-0.041199775674574356,3.1087625160564394,9.246033484826151,4.60421252406513,
453,2.016794744302618,5.451190149484646,4.9658332114630355,6.173016094429373,-1.1778621170911376,-0.40021437412613187,-1.6611009544075377,-2.5950937345407246,-6.6941837755713305,-3.6687247590160172,-3.832888495590619,-6.333458077715319,-3.959450400658573,-4.192092397516595,-6.962288019094969,-6.0033057914329335,28,68.53916931152344,0.9135802469135801,0.8485804416403788,0.8279266572637518,0.7923627684964187,-7.745336607774194,-4.0018280477875505,-6.15952265938575,-6.000367950498162,7.077973532870303,2.6959460877626555,2.7885244969039182,0.07452140019265552,
466,-2.979262477601386,-2.003261167837952,-1.421408989675445,-2.734788008736899,-1.6850005877944059,-0.03216282332924272,-2.712979269790105,-1.698971901583258,-1.5650270781873619,-7.568821405824654,-5.7190476884036645,-3.759739200756473,5.9073582029202845,-6.96996042224931,-2.775801031406325,-6.220657480978887,6,48.7591667175293,0.8271604938271601,0.5583596214511048,0.39351198871650217,0.3309466984884602,-7.895907139780043,-8.164254078383784,-9.831443208649096,-7.981322589017032,-5.158511825574444,-6.240684703909464,-5.315627004013192,-6.308294797167377,
521,-6.012886285914516,-2.9731663440294476,-7.608606649496223,-3.811661434187948,-8.65184809494948,-5.338735994888877,-5.595393266787384,-8.620668802930025,-14.05891587761169,-15.106813014047356,-14.136366205294136,-14.051156161508553,-14.761372277039674,-13.594606001206945,-12.531778870987834,-14.914408448554898,5,13.52833366394043,0.13580246913580216,0.14511041009463782,0.14527503526093097,0.1256961018297519,-12.706424540722853,-15.051974909380265,-14.887708529635903,-14.923171585884985,-8.186674161146835,-8.58597309894918,-9.287215358211036,-10.952198075684793,
522,-1.8945137009114679,-1.6078383206271847,-6.39687987860005,-4.445590312668523,-7.311557423849209,-4.951266889292083,-6.8560146392234325,-4.162752329042873,-10.638292374611352,-10.407675960656062,-13.32878685888017,-7.533504629644271,-13.058580745246017,-10.84273934331705,-11.391206819417262,-10.608388568560324,11,23.955833435058594,0.4444444444444434,0.42586750788643635,0.48377997179125537,0.4964200477326936,-8.998144582976208,-12.741605799894339,-8.352694813935141,-12.219921694499037,-2.3484249393114767,-8.688888059461226,-5.982592200232175,-7.3522717791193735,
558,0.9992667138434669,9.69206890440395,3.674162077935015,7.772443002877397,-3.5801891535011046,-3.0201683256246947,-1.1222488027116853,-2.7322445439393914,-8.314389814235707,-12.618030781078225,-5.999791381956373,-0.44148368772873664,-6.772255072861568,-7.632497416830851,-5.146932628792145,-7.9058682924241,31,55.12083435058594,0.4444444444444434,0.38170347003154687,0.33709449929478147,0.33333333333332893,-10.642348573871738,-1.9350031513828418,-4.353773363373744,-3.8049698331230473,0.6203442937649702,8.866273743807431,-2.4269926387352845,0.3023508980258878,
568,1.550954599188755,0.6549434772070547,0.3010527333168521,0.7676022715544619,1.813847828624651,5.304086471639906,2.7885523068342333,3.049845158801639,-0.10726338122899066,-3.8914140473992718,-0.8932173796416722,0.28317932312311217,-4.151717893210149,-10.210777320106642,-4.882405939326052,-6.214870374326998,17,65.55583190917969,1.0,0.9652996845425869,0.9153737658674189,0.9172633253778834,-2.1378714119432236,-2.4419324710006958,-2.170846774227233,-8.309526885322544,2.370041840636258,0.5258113698534839,2.2006210196273783,1.3295492325318377,
582,-6.987331383415364,-6.296152154956078,-7.313192360661935,-5.613557040617536,-8.532708406352237,-6.474472870464689,-7.378949997354052,-8.482582472274377,-14.344929896161954,-14.796291451699211,-11.910419944577464,-14.85472174751188,-12.009259570815946,-14.266205262030873,-14.546261792573535,-14.80387934689217,7,19.857500076293945,0.0987654320987652,0.11987381703470075,0.09732016925246832,0.09148766905330041,-14.488167543393363,-14.635604091637429,-14.355385582248827,-13.342853520692843,-9.072358282804538,-9.751030532164537,-9.653551456855778,-8.499350389349372,
588,6.571104258781153,10.7149904588697,3.416004126401348,2.947633469685004,-2.5212222774564377,-1.781995417055746,-1.6652126167569457,-4.039922645807562,-12.007097065232319,-13.75811291007894,-10.634695837145351,-13.866692454780194,-7.504976079958459,-6.926727625229623,-6.00794124233084,-5.885207206815233,6,52.83333206176758,0.8395061728395058,0.7381703470031551,0.6417489421720733,0.5202863961813811,-13.675800508175946,-17.245881882466403,-9.755049107911452,-4.497951909449539,-5.028022623502822,-5.577681907884814,-4.069224087151821,-0.8414390132998161,
589,4.799285207842004,12.489672928349066,2.9508777141317024,10.550816008205363,-2.094140945400567,-0.6392255726147675,-0.5019233171949858,1.9880672719455728,-9.899812735212624,-12.052950358922894,-10.32835075216603,-8.004110899275314,-2.8000080010957658,-6.201752946785586,-6.05401025939787,-3.0036682606768337,11,58.26499938964844,0.8271604938271601,0.8201892744479499,0.7447108603667137,0.6587112171837687,-12.257070757549291,-15.755406809524642,-12.93286817785328,-9.364212942724304,-2.0943699535445237,1.8216925376367903,-7.348900837250971,-3.9923988501412664,
592,-6.476883083386063,-4.781830354548629,-7.99833048363545,-7.0613684926828215,-9.73517741599562,-7.5901189915119955,-6.769551563019098,-7.656889066677143,-15.151990343372711,-14.053968724303076,-13.155924858922024,-15.162083578651695,-15.30855589374323,-14.465151039895611,-13.630238229496952,-14.145161724317955,7,15.188333511352539,0.2962962962962956,0.1703470031545749,0.14950634696756002,0.12728719172633102,-12.561074422522973,-15.428780265278982,-14.913874938482818,-15.146844577484883,-3.089697248573866,-11.062711735055586,-10.324541907180123,-7.939129048747923,
611,-5.63003638824698,-6.42450115630572,-5.184472020664142,-5.191384978941245,-8.808152394435755,-8.300801608910719,-7.927150662284636,-9.64269915935428,-14.79260267460396,-14.760331850720826,-14.208247805391368,-14.184626670587566,-16.1757894519945,-14.366379896363172,-14.576324191095495,-14.534869682858401,4,29.022499084472656,0.2962962962962956,0.26498422712933883,0.20592383638928075,0.1654733492442297,-13.481475748220436,-14.209818367079237,-15.231607507907242,-14.255210722010167,-8.137795203603655,-9.585289560735319,-9.928197145202834,-8.989541378441626,
619,8.216995864827927,11.949240968948986,2.0079938978371787,8.45750249037213,-0.011086547722453238,0.07357349505972748,0.860905997994509,-0.6884582729209058,-10.44459973415634,-10.888695210200192,-6.304342701230881,-9.535941493210334,-4.570044100039306,-5.71762534834293,-4.719009553939546,-3.2427644903256243,22,53.40083312988281,0.8024691358024687,0.8454258675078867,0.8110014104372356,0.8050914876690521,-7.074987217589566,-7.717903204649392,-3.905713422742187,-5.266540495972032,6.071819469594979,10.638055720926438,0.527810864912814,-1.107009174143207,
667,-2.3315827459507052,-3.664711250899646,-3.914042091806457,-1.5501819375383465,-2.3370701578025566,-4.025874334150386,-4.221298936672884,-3.2491243617920813,-13.6726073112163,-12.795723685267207,-15.056705890330155,-12.660615640678598,-14.762037202755247,-12.881694694637105,-13.286140257331331,-13.68683747986445,9,45.59166717529297,0.8765432098765429,0.6813880126182971,0.6516220028208745,0.600636435958629,-15.42809154151852,-13.767167976072402,-15.78899640525151,-14.669832816294052,-6.329366130670812,-3.306880946344859,-7.202955400009762,-7.032214691095674,
668,-0.5284847386115695,1.264589751716304,-0.579397737249414,3.4148771363433217,-0.6700191332380133,-0.2668133278234064,1.0786598542967325,-2.6060602486216626,-8.78090613787324,-9.91813360690616,-5.646133782747054,-5.641850642919002,5.981601872740684,-2.569687676568333,4.204188975924297,-2.968082713114828,18,53.6533317565918,0.8271604938271601,0.9116719242902209,0.849083215796897,0.7780429594272062,-9.272905193366146,-7.366229159715688,-1.2239677957035637,-2.1125652873361727,-5.358985605164546,-1.5968754615248437,1.752563679481861,-1.6272528458298885,
673,-2.6343923508888514,-1.9361308693496662,3.465565602089912,-0.7862794996589891,-3.630546244202079,3.711643828902427,-3.4765341464380923,-0.17576534502096205,-12.100491507460841,-12.084481499769277,-11.423466564060352,-10.00048735875028,-15.035794517341222,-13.54548467068041,-14.697238089566088,-13.682975741366828,12,42.42583465576172,0.5061728395061718,0.39116719242902315,0.4104372355430184,0.3723150357995185,-12.52270444592592,-10.074455158502118,-16.962415634593572,-15.135329826505064,-2.183164146315005,-1.2462184688022515,-8.905112589548775,-6.715469537826945,
729,0.010940952295976072,0.27879407445602955,-1.3915291787594548,-0.7382055200836071,-0.6467893012233512,0.24625509458547482,-1.016177082537404,2.128548621659164,-6.829371126923633,-7.717560981540987,-7.603637256287516,-7.9122436643294165,-2.48701815590102,-0.22198493617875314,-3.4917885114650886,1.5242563756966627,17,63.82999801635742,0.8271604938271601,0.8990536277602525,0.8363892806770099,0.7844073190135229,-11.407094011887002,-9.366528532437233,-4.191978909898053,-2.26301575540683,-4.759620973346256,-0.8108975237515281,-1.3502971211816535,-1.9043856449214658,
761,1.8210254919219058,1.0921919240294862,2.493353325014431,2.824146535459686,1.3106179322951912,-2.9663002375745964,-3.95806026780461,-4.484185810036889,-8.0291804516946,-8.691479102209305,-9.006400216382541,-4.75907487891079,-8.506652012428388,-7.068775502695962,-7.768971156227334,-6.999503628089683,8,51.56833267211914,1.0,0.8801261829652999,0.7418899858956277,0.6746221161495604,-4.5197059178986985,-5.5424885049046875,-11.60479593160322,-8.38331142356613,-2.202286415834575,-2.326982236249637,-5.68162214627844,-4.675621968032671,
782,-0.9649857972433044,-3.7302933043153685,-0.6760404165889485,-2.7038680928464047,-0.7888535730049909,7.244890952001271,1.0806698639471406,4.451206818187599,-6.31237747920349,-5.212535510112451,-5.093489398009268,-7.632508524749477,-13.594433858050575,-12.027821940703234,-12.931382944732412,-13.110924812350458,4,32.670833587646484,0.8888888888888886,0.6593059936908523,0.456981664315938,0.36038186157517477,-8.158264749808403,-6.3315733216586105,-14.811899708722606,-15.234497136688852,-3.2599341347233306,-1.363036249652601,-5.77839546629513,-4.478048920247979,
800,0.9502655082565178,-0.6094098865390022,1.3549944885346639,-0.9349644787445455,-0.7144348191338522,1.4257691482248658,2.650823394978628,3.455936171209109,-4.893174997784494,-8.440712329208678,-7.317817008788168,-8.732479017934434,-7.778621996702997,-6.9364291298601675,-9.95970878287615,-9.446034191701349,13,37.19166564941406,0.790123456790123,0.7886435331230288,0.7150916784203103,0.6396181384248186,-8.536659885360574,-12.26873981238269,-6.456770983548167,-12.288586038229818,-4.317980558218855,-5.273671040066897,5.774680109004455,4.710210801245373,
801,-2.6263738580003992,-1.1111359868045356,-5.391452284334363,-2.0552834919171565,-0.9776165215717069,-3.1764682358928438,2.6401203858513966,-1.905484597153692,-6.9803455069141265,-5.992215771010201,-8.955990234100277,-7.318735073783928,-6.844135640225747,-7.890611361163661,-3.9723841630653736,-7.423184935431741,17,41.21666717529297,0.6172839506172831,0.5173501577287075,0.46121297602256706,0.5059665871121686,-9.174125555364224,-10.383811534852288,-4.861657806037454,-1.5568215723293084,-3.091490718409609,-3.0295558461668812,-1.551083419081157,1.6515409516394166,
