system:index,Height,NL,U1,U2,U3,U4,VH_A,VH_D1,VH_D2,VV_A,VV_D1,VV_D2,.geo
231,11,37.109169006347656,0.5185185185185175,0.42586750788643635,0.4245416078984486,0.3977724741447852,-12.85911487249601,-18.143690491387524,-15.161427397959374,-1.8514543531891725,-10.247561986441706,-9.491468993442602,
235,21,43.684165954589844,0.7777777777777772,0.678233438485805,0.5839210155148097,0.5727923627684937,-10.509822535658337,-17.61184031163786,-16.250300870728967,-2.5615340423571054,-3.8350686072829867,-4.075422563827653,
236,26,85.03166961669922,0.8148148148148144,0.7539432176656156,0.765867418899859,0.7931583134447083,-11.170181948040605,-16.156168898561383,-13.946529247862218,-6.3915907448479485,-6.843055795346584,-3.942753366166737,
243,8,24.310832977294922,0.5308641975308631,0.49526813880126275,0.4090267983074754,0.3731105807478081,-11.947135533817626,-15.107182421535049,-14.810129372623217,0.9305507798919014,-6.523207487982834,-7.840788399146322,
258,7,21.78416633605957,0.6790123456790116,0.5646687697160891,0.49224259520451347,0.38265712012728315,-13.525641552786054,-13.732449077416923,-12.692497358454293,-2.811680405223341,-5.649066322117166,-5.686220847579706,
260,7,49.8125,0.6543209876543202,0.6088328075709786,0.5557122708039492,0.556881463802702,-13.244473089483503,-14.146269584008408,-8.683611910990603,-7.581635370031955,-6.838336183310757,-2.0462126649607693,
285,6,5.9041666984558105,0.0,0.03154574132492128,0.04090267983074759,0.046937151949084495,-16.221108186835785,-17.826862633970407,-17.05453578391005,-9.682402732676822,-11.653461660310674,-11.420894557572542,
291,8,50.2691650390625,0.6419753086419745,0.6277602523659312,0.5782792665726376,0.5839299920445478,-10.24748295688138,-12.383545226867358,-13.889271032678492,-2.179500530838817,-6.982889422752096,-7.287917688082482,
295,6,22.504167556762695,0.0987654320987652,0.09463722397476378,0.12129760225669964,0.14160700079554303,-19.510676425494456,-14.84180241394007,-13.172632170488088,-13.152983218676411,-4.309909973413493,-6.103832495444867,
296,8,48.11333465576172,0.8395061728395058,0.7066246056782339,0.6191819464033851,0.514717581543354,-7.584983751094639,-10.769503299007486,-10.294667160944407,-8.915016618847662,1.0228430816891223,-3.0817783053461425,
332,19,53.401668548583984,0.9629629629629629,0.6845425867507892,0.5641748942172073,0.4916467780429561,-10.858861201812324,-3.7787989406950433,-2.8185087754701907,-2.708678851741991,6.710409046839321,11.032214019991631,
347,44,44.74166488647461,0.8765432098765429,0.4479495268138811,0.3582510578279267,0.3214001591089852,-9.867259140338259,-20.946024745510062,-19.887049258547158,6.890077044697697,-13.984810152083336,-12.358918130886192,
348,6,25.704166412353516,0.08641975308641955,0.24290220820189404,0.26798307475317357,0.2649164677804247,-14.432898962995989,-16.757898594003525,-18.243772611547087,-8.505816377538395,-10.821853402396332,-10.69714543853306,
